SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
WOF31_summer_0m	Cytb	SRR7549898	SAMN09702422	PRJNA482277
WOF31_summer_mid	Cytb	SRR7549905	SAMN09702423	PRJNA482277
WOF31_summer_30m	Cytb	SRR7549904	SAMN09702424	PRJNA482277
WOF32_summer_mid	Cytb	SRR7549903	SAMN09702425	PRJNA482277
WOF33_summer	Cytb	SRR7549902	SAMN09702426	PRJNA482277
WOF34_summer	Cytb	SRR7549907	SAMN09702427	PRJNA482277
WOF36_summer	Cytb	SRR7549906	SAMN09702428	PRJNA482277
WOF37_summer	Cytb	SRR7549769	SAMN09702429	PRJNA482277
WOF38_summer	Cytb	SRR7549770	SAMN09702430	PRJNA482277
WOF39_summer	Cytb	SRR7549771	SAMN09702431	PRJNA482277
WOF40_summer	Cytb	SRR7549772	SAMN09702432	PRJNA482277
WOF41_summer	Cytb	SRR7549765	SAMN09702433	PRJNA482277
WOF42_summer	Cytb	SRR7549766	SAMN09702434	PRJNA482277
WOF43_summer	Cytb	SRR7549767	SAMN09702435	PRJNA482277
WOF44_summer	Cytb	SRR7549768	SAMN09702436	PRJNA482277
WOF45_summer	Cytb	SRR7549773	SAMN09702437	PRJNA482277
WOF46_summer	Cytb	SRR7549774	SAMN09702438	PRJNA482277
WOF47_summer	Cytb	SRR7549728	SAMN09702439	PRJNA482277
WOF48_summer	Cytb	SRR7549727	SAMN09702440	PRJNA482277
WOF49_summer	Cytb	SRR7549730	SAMN09702441	PRJNA482277
WOF50_summer	Cytb	SRR7549729	SAMN09702442	PRJNA482277
WSH01_summer	Cytb	SRR7549724	SAMN09702443	PRJNA482277
WSH02_summer	Cytb	SRR7549723	SAMN09702444	PRJNA482277
WSH03_summer	Cytb	SRR7549871	SAMN09702445	PRJNA482277
WSH04_summer	Cytb	SRR7549868	SAMN09702446	PRJNA482277
WSH05_summer	Cytb	SRR7549857	SAMN09702447	PRJNA482277
WSH06_summer	Cytb	SRR7549856	SAMN09702448	PRJNA482277
WSH07_summer	Cytb	SRR7550016	SAMN09702449	PRJNA482277
WSH08_summer	Cytb	SRR7550017	SAMN09702450	PRJNA482277
WSH09_summer	Cytb	SRR7550014	SAMN09702451	PRJNA482277
WSH10_summer	Cytb	SRR7550015	SAMN09702452	PRJNA482277
WSH11_summer	Cytb	SRR7550012	SAMN09702453	PRJNA482277
WSH12_summer	Cytb	SRR7550013	SAMN09702454	PRJNA482277
WSH13_summer	Cytb	SRR7550010	SAMN09702455	PRJNA482277
WSH14_summer	Cytb	SRR7550011	SAMN09702456	PRJNA482277
WSH15_summer	Cytb	SRR7550008	SAMN09702457	PRJNA482277
WSH16_summer	Cytb	SRR7550009	SAMN09702458	PRJNA482277
WSH17_summer	Cytb	SRR7549855	SAMN09702459	PRJNA482277
WSH18_summer	Cytb	SRR7549854	SAMN09702460	PRJNA482277
WSH20_summer	Cytb	SRR7549839	SAMN09702461	PRJNA482277
WSH21_summer	Cytb	SRR7549928	SAMN09702462	PRJNA482277
WSH22_summer	Cytb	SRR7549851	SAMN09702463	PRJNA482277
WSH23_summer	Cytb	SRR7549850	SAMN09702464	PRJNA482277
WSH24_summer	Cytb	SRR7549849	SAMN09702465	PRJNA482277
WSH25_summer	Cytb	SRR7549848	SAMN09702466	PRJNA482277
WSH26_summer	Cytb	SRR7549822	SAMN09702467	PRJNA482277
WSH27_summer	Cytb	SRR7549821	SAMN09702468	PRJNA482277
